order-id,order-item-id,purchase-date,payments-date,buyer-email,buyer-name,cpf,buyer-phone-number,sku,upc,product-name,quantity-purchased,currency,item-price,ship-service-level,ship-address-1,ship-address-2,ship-address-3,ship-city,ship-state,ship-postal-code,ship-country
PED1001,ITEM1001-1,2026-05-01 10:15:00,2026-05-01 10:20:00,ana.silva@email.com,Ana Silva,11122233344,11999990001,SKU001,7891000000011,Cafeteira Eletrica,2,BRL,250.00,EXPRESS,"Rua A, 100",Apto 12,Centro,Sao Paulo,SP,01001000,BR
PED1001,ITEM1001-2,2026-05-01 10:15:00,2026-05-01 10:20:00,ana.silva@email.com,Ana Silva,11122233344,11999990001,SKU002,7891000000028,Liquidificador,1,BRL,180.00,EXPRESS,"Rua A, 100",Apto 12,Centro,Sao Paulo,SP,01001000,BR
PED1002,ITEM1002-1,2026-05-01 11:30:00,2026-05-01 11:35:00,bruno.costa@email.com,Bruno Costa,22233344455,21988880002,SKU003,7891000000035,Fone Bluetooth,4,BRL,120.00,STANDARD,"Av Brasil, 500",Bloco B,Sala 3,Rio de Janeiro,RJ,20040002,BR
PED1003,ITEM1003-1,2026-05-02 09:05:00,2026-05-02 09:10:00,carla.moura@email.com,Carla Moura,33344455566,31977770003,SKU004,7891000000042,Panela Eletrica,150,BRL,95.00,STANDARD,"Rua das Flores, 45",,Savassi,Belo Horizonte,MG,30140071,BR
PED1004,ITEM1004-1,2026-05-02 14:45:00,2026-05-02 14:50:00,diego.lima@email.com,Diego Lima,44455566677,41966660004,SKU005,7891000000059,Teclado Mecanico,3,BRL,300.00,EXPRESS,"Rua XV de Novembro, 900",Casa,,Curitiba,PR,80020310,BR
PED1004,ITEM1004-2,2026-05-02 14:45:00,2026-05-02 14:50:00,diego.lima@email.com,Diego Lima,44455566677,41966660004,SKU006,7891000000066,Mouse Gamer,5,BRL,150.00,EXPRESS,"Rua XV de Novembro, 900",Casa,,Curitiba,PR,80020310,BR
PED1005,ITEM1005-1,2026-05-03 08:10:00,2026-05-03 08:12:00,elisa.rocha@email.com,Elisa Rocha,55566677788,51955550005,SKU007,7891000000073,Mochila Executiva,1,BRL,220.00,STANDARD,"Av Ipiranga, 1200",Apto 501,Praia de Belas,Porto Alegre,RS,90160092,BR
PED1006,ITEM1006-1,2026-05-03 16:20:00,2026-05-03 16:25:00,fabio.alves@email.com,Fabio Alves,66677788899,71944440006,SKU003,7891000000035,Fone Bluetooth,2,BRL,120.00,STANDARD,"Rua Chile, 22",Loja 2,Comercio,Salvador,BA,40020000,BR
PED1007,ITEM1007-1,2026-05-04 12:00:00,2026-05-04 12:05:00,gabriela.nunes@email.com,Gabriela Nunes,77788899900,61933330007,SKU008,7891000000080,Caixa de Som Portatil,120,BRL,80.00,EXPRESS,SQN 202 Bloco C,Apto 303,Asa Norte,Brasilia,DF,70832030,BR
PED1007,ITEM1007-2,2026-05-04 12:00:00,2026-05-04 12:05:00,gabriela.nunes@email.com,Gabriela Nunes,77788899900,61933330007,SKU002,7891000000028,Liquidificador,2,BRL,180.00,EXPRESS,SQN 202 Bloco C,Apto 303,Asa Norte,Brasilia,DF,70832030,BR
